"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('20', 8, 8.25, 1000)","('20', 2, 2.25, 1000)",2
"('20', 9, 9.25, 1000)","('20', 2, 2.25, 1000)",2
"('20', 10, 10.25, 1000)","('46', 4, 4.25, 1000)",2
"('20', 11, 11.25, 1000)","('20', 2, 2.25, 1000)",3
"('20', 12, 12.25, 1000)","('2', 4, 4.25, 1000)",3
"('20', 13, 13.25, 1000)","('46', 13, 13.25, 1000)",4
"('20', 14, 14.25, 1000)","('20', 0, 0.25, 1000)",4
"('20', 15, 15.25, 1000)","('13', 5, 5.25, 1000)",5
"('20', 16, 16.25, 1000)","('2', 10, 10.25, 1000)",7
"('20', 17, 17.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 18, 18.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 19, 19.25, 1000)","('20', 21, 21.25, 1000)",7
"('20', 20, 20.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 21, 21.25, 1000)","('46', 2, 2.25, 1000)",7
"('20', 22, 22.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 23, 23.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 24, 24.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 25, 25.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 26, 26.25, 1000)","('20', 6, 6.25, 1000)",7
"('20', 27, 27.25, 1000)","('46', 19, 19.25, 1000)",7
"('20', 28, 28.25, 1000)","('20', 11, 11.25, 1000)",7
"('20', 29, 29.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 30, 30.25, 1000)","('20', 16, 16.25, 1000)",7
"('20', 31, 31.25, 1000)","('20', 6, 6.25, 1000)",7
"('20', 32, 32.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 33, 33.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 34, 34.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 35, 35.25, 1000)","('2', 3, 3.25, 1000)",7
"('20', 36, 36.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 37, 37.25, 1000)","('20', 0, 0.25, 1000)",7
"('20', 38, 38.25, 1000)","('20', 1, 1.25, 1000)",7
"('20', 41, 41.25, 1000)","('13', 23, 23.25, 1000)",8
"('20', 42, 42.25, 1000)","('13', 12, 12.25, 1000)",8
"('20', 43, 43.25, 1000)","('2', 30, 30.25, 1000)",8
"('20', 44, 44.25, 1000)","('13', 12, 12.25, 1000)",8
"('20', 46, 46.25, 1000)","('20', 0, 0.25, 1000)",12
"('20', 47, 47.25, 1000)","('46', 4, 4.25, 1000)",12
"('20', 48, 48.25, 1000)","('20', 0, 0.25, 1000)",12
"('20', 49, 49.25, 1000)","('46', 0, 0.25, 1000)",12
"('20', 50, 50.25, 1000)","('46', 16, 16.25, 1000)",12
"('20', 51, 51.25, 1000)","('2', 4, 4.25, 1000)",12
"('20', 53, 53.25, 1000)","('20', 0, 0.25, 1000)",14
"('20', 54, 54.25, 1000)","('20', 0, 0.25, 1000)",14
"('43', 1, 1.25, 1000)","('43', 0, 0.25, 1000)",13
"('46', 0, 0.25, 1000)","('20', 0, 0.25, 1000)",1
"('46', 1, 1.25, 1000)","('20', 0, 0.25, 1000)",1
"('46', 2, 2.25, 1000)","('46', 3, 3.25, 1000)",1
"('46', 3, 3.25, 1000)","('20', 0, 0.25, 1000)",1
"('46', 4, 4.25, 1000)","('20', 0, 0.25, 1000)",1
"('46', 5, 5.25, 1000)","('20', 0, 0.25, 1000)",1
"('46', 6, 6.25, 1000)","('20', 0, 0.25, 1000)",1
"('46', 7, 7.25, 1000)","('20', 0, 0.25, 1000)",2
"('46', 8, 8.25, 1000)","('46', 1, 1.25, 1000)",3
"('46', 11, 11.25, 1000)","('20', 9, 9.25, 1000)",4
"('46', 12, 12.25, 1000)","('13', 1, 1.25, 1000)",4
"('46', 13, 13.25, 1000)","('20', 13, 13.25, 1000)",4
"('46', 14, 14.25, 1000)","('46', 0, 0.25, 1000)",4
"('46', 15, 15.25, 1000)","('20', 8, 8.25, 1000)",4
"('46', 16, 16.25, 1000)","('13', 8, 8.25, 1000)",5
"('46', 17, 17.25, 1000)","('47', 4, 4.25, 1000)",5
"('46', 18, 18.25, 1000)","('46', 26, 26.25, 1000)",5
"('46', 19, 19.25, 1000)","('13', 1, 1.25, 1000)",5
"('46', 20, 20.25, 1000)","('46', 21, 21.25, 1000)",5
"('46', 21, 21.25, 1000)","('46', 2, 2.25, 1000)",5
"('46', 22, 22.25, 1000)","('46', 2, 2.25, 1000)",5
"('46', 23, 23.25, 1000)","('46', 2, 2.25, 1000)",5
"('46', 24, 24.25, 1000)","('46', 3, 3.25, 1000)",5
"('46', 25, 25.25, 1000)","('2', 7, 7.25, 1000)",5
"('46', 26, 26.25, 1000)","('46', 18, 18.25, 1000)",5
"('46', 27, 27.25, 1000)","('13', 27, 27.25, 1000)",5
"('46', 28, 28.25, 1000)","('20', 0, 0.25, 1000)",5
"('46', 30, 30.25, 1000)","('20', 23, 23.25, 1000)",5
"('46', 32, 32.25, 1000)","('46', 37, 37.25, 1000)",5
"('46', 33, 33.25, 1000)","('46', 19, 19.25, 1000)",5
"('46', 34, 34.25, 1000)","('46', 2, 2.25, 1000)",5
"('46', 35, 35.25, 1000)","('13', 10, 10.25, 1000)",6
"('46', 36, 36.25, 1000)","('20', 0, 0.25, 1000)",7
"('46', 37, 37.25, 1000)","('20', 1, 1.25, 1000)",7
"('46', 38, 38.25, 1000)","('20', 0, 0.25, 1000)",7
"('46', 39, 39.25, 1000)","('2', 13, 13.25, 1000)",7
"('46', 40, 40.25, 1000)","('2', 3, 3.25, 1000)",7
"('46', 41, 41.25, 1000)","('46', 19, 19.25, 1000)",8
"('46', 43, 43.25, 1000)","('20', 0, 0.25, 1000)",9
"('46', 45, 45.25, 1000)","('47', 0, 0.25, 1000)",9
"('46', 47, 47.25, 1000)","('2', 1, 1.25, 1000)",14
"('46', 48, 48.25, 1000)","('46', 18, 18.25, 1000)",14
"('46', 49, 49.25, 1000)","('46', 2, 2.25, 1000)",14
"('46', 50, 50.25, 1000)","('46', 21, 21.25, 1000)",14
"('46', 51, 51.25, 1000)","('2', 14, 14.25, 1000)",14
"('46', 54, 54.25, 1000)","('46', 2, 2.25, 1000)",14
"('46', 55, 55.25, 1000)","('46', 52, 52.25, 1000)",14
"('47', 1, 1.25, 1000)","('47', 3, 3.25, 1000)",5
"('47', 2, 2.25, 1000)","('13', 5, 5.25, 1000)",5
"('47', 3, 3.25, 1000)","('46', 21, 21.25, 1000)",5
"('47', 5, 5.25, 1000)","('2', 24, 24.25, 1000)",5
"('47', 6, 6.25, 1000)","('20', 2, 2.25, 1000)",5
"('47', 7, 7.25, 1000)","('47', 17, 17.25, 1000)",5
"('47', 8, 8.25, 1000)","('13', 11, 11.25, 1000)",7
"('47', 9, 9.25, 1000)","('13', 24, 24.25, 1000)",8
"('47', 10, 10.25, 1000)","('2', 35, 35.25, 1000)",8
"('47', 11, 11.25, 1000)","('2', 28, 28.25, 1000)",9
"('47', 12, 12.25, 1000)","('46', 11, 11.25, 1000)",11
"('47', 13, 13.25, 1000)","('46', 2, 2.25, 1000)",11
"('47', 14, 14.25, 1000)","('46', 37, 37.25, 1000)",12
"('47', 15, 15.25, 1000)","('2', 3, 3.25, 1000)",14
"('47', 16, 16.25, 1000)","('46', 18, 18.25, 1000)",14
"('47', 17, 17.25, 1000)","('13', 2, 2.25, 1000)",14
"('47', 18, 18.25, 1000)","('20', 0, 0.25, 1000)",14
"('47', 19, 19.25, 1000)","('46', 18, 18.25, 1000)",14
"('47', 20, 20.25, 1000)","('20', 33, 33.25, 1000)",14
